Fed Weight,Cage,Genotype,Mouse,Drug,Fasted Weight,Fasted Glucose,15 min,30 min,45 min,60 min,75 min,90 min,105 min,120 min,AUC
17.56,1896724,Wild-Type,646,Drug,15.96,81,62,48,49,39,37,43,43,45,447
19.18,1896724,Knockout,648,Drug,17.6,99,89,67,74,67,54,50,54,60,614
17.8,1896724,Wild-Type,653,Drug,16.2,83,63,42,36,35,37,41,47,47,431
19.83,1896725,Wild-Type,654,Control,17.42,122,85,52,64,44,42,69,73,71,622
22.97,1896725,Knockout,655,Control,20.65,102,67,63,54,55,50,65,69,74,599
21.38,1896725,Wild-Type,656,Control,19.35,100,65,63,52,47,51,73,67,89,607
21.66,1896725,Knockout,657,Control,20.02,88,63,56,59,57,62,74,66,72,597
18.56,1896725,Knockout,659,Control,16.65,132,57,65,47,41,49,63,78,61,593
19.89,1909020,Wild-Type,632,Control,18.09,98,61,59,45,64,58,45,51,50,531
18.56,1909020,Wild-Type,633,Control,16.72,85,78,65,36,38,32,54,44,64,496
18.25,1909020,Wild-Type,636,Control,16.15,102,84,80,77,61,63,79,64,92,702
21.26,1909020,Knockout,637,Control,19.3,69,77,58,43,36,40,46,94,56,519
19.59,1909020,Knockout,651,Control,17.81,88,79,64,56,53,65,68,76,97,646
17.35,1909462,Wild-Type,638,Drug,16.82,79,50,60,68,76,81,87,87,79,667
15.8,1909462,Knockout,639,Drug,14.94,71,64,46,59,59,49,59,52,48,507
15.63,1909462,Wild-Type,641,Drug,14.95,75,85,46,44,39,42,48,42,55,476
15.6,1909462,Wild-Type,642,Drug,14.81,63,61,44,40,41,40,58,50,60,457
14.68,1909462,Knockout,643,Drug,13.74,74,53,54,59,39,44,39,,51,
21.57,1908901,Wild-Type,114,Drug,20.36,100,82,58,62,55,55,60,55,64,591
19.58,1908901,Knockout,118,Drug,18.52,93,81,70,46,42,41,48,41,63,525
16.64,1908901,Wild-Type,112,Drug,15.56,71,65,61,57,56,50,59,49,50,518
17.46,1908901,Wild-Type,113,Drug,16.26,94,61,46,61,53,82,55,54,57,563
19.86,1908904,Knockout,123,Control,20.79,107,67,55,62,68,52,60,80,80,631
22.43,1908904,Wild-Type,125,Control,18.32,117,74,57,41,42,49,57,68,74,579
22.22,1908904,Wild-Type,126,Control,20.6,105,73,58,60,54,58,76,90,89,663
22.33,1908904,Wild-Type,127,Control,20.38,118,82,75,61,65,84,86,94,103,768
19.53,1909008,Knockout,101,Drug,17.86,96,58,26,10,10,10,21,26,32,289
16.18,1909008,Wild-Type,103,Drug,14.46,88,70,54,54,57,51,66,65,64,569
18.78,1909008,Knockout,105,Drug,17.45,76,62,58,47,48,42,64,50,57,504
20.09,1909008,Wild-Type,108,Drug,18.27,127,79,31,10,10,,,,,
